11-22 17:14 [MainProcess, 3146436] [INFO ]  {'input_dim': 1793, 'hidden_units': 128, 'output_dim': 257, 'num_layers': 3, 'num_epochs': 100, 'batchsize': 128, 'data': 'noisy', 'dur': 4, 'weight': 100000000, 'resume_epoch': None, 'ratio': 0.1, 'optimizer': {'lr': 0.001, 'beta1': 0.0, 'beta2': 0.9}}
11-22 17:15 [MainProcess, 3146499] [INFO ]  {'input_dim': 1793, 'hidden_units': 128, 'output_dim': 257, 'num_layers': 3, 'num_epochs': 100, 'batchsize': 128, 'data': 'noisy', 'dur': 4, 'weight': 100000000, 'resume_epoch': None, 'ratio': 0.1, 'optimizer': {'lr': 0.001, 'beta1': 0.0, 'beta2': 0.9}}
11-22 17:20 [MainProcess, 3146859] [INFO ]  {'input_dim': 1793, 'hidden_units': 128, 'output_dim': 257, 'num_layers': 3, 'num_epochs': 100, 'batchsize': 128, 'data': 'noisy', 'dur': 4, 'weight': 100000000, 'resume_epoch': None, 'ratio': 0.1, 'optimizer': {'lr': 0.001, 'beta1': 0.0, 'beta2': 0.9}}
11-22 17:27 [MainProcess, 3147200] [INFO ]  {'input_dim': 1793, 'hidden_units': 128, 'output_dim': 257, 'num_layers': 3, 'num_epochs': 100, 'batchsize': 128, 'data': 'noisy', 'dur': 4, 'weight': 100000000, 'resume_epoch': None, 'ratio': 0.1, 'optimizer': {'lr': 0.001, 'beta1': 0.0, 'beta2': 0.9}}
11-22 17:31 [MainProcess, 3147487] [INFO ]  {'input_dim': 1793, 'hidden_units': 128, 'output_dim': 257, 'num_layers': 3, 'num_epochs': 100, 'batchsize': 128, 'data': 'noisy', 'dur': 4, 'weight': 100000000, 'resume_epoch': None, 'ratio': 0.1, 'optimizer': {'lr': 0.001, 'beta1': 0.0, 'beta2': 0.9}}
11-22 18:16 [MainProcess, 3150365] [INFO ]  {'input_dim': 1793, 'hidden_units': 128, 'output_dim': 257, 'num_layers': 3, 'num_epochs': 100, 'batchsize': 128, 'data': 'noisy', 'dur': 4, 'weight': 100000000, 'resume_epoch': None, 'ratio': 0.1, 'optimizer': {'lr': 0.001, 'beta1': 0.0, 'beta2': 0.9}}
11-22 18:24 [MainProcess, 3150961] [INFO ]  {'input_dim': 1793, 'hidden_units': 128, 'output_dim': 257, 'num_layers': 3, 'num_epochs': 100, 'batchsize': 128, 'data': 'noisy', 'dur': 4, 'weight': 100000000, 'resume_epoch': None, 'ratio': 0.1, 'optimizer': {'lr': 0.001, 'beta1': 0.0, 'beta2': 0.9}}
11-22 18:25 [MainProcess, 3151046] [INFO ]  {'input_dim': 1793, 'hidden_units': 128, 'output_dim': 257, 'num_layers': 3, 'num_epochs': 100, 'batchsize': 128, 'data': 'noisy', 'dur': 4, 'weight': 100000000, 'resume_epoch': None, 'ratio': 0.1, 'optimizer': {'lr': 0.001, 'beta1': 0.0, 'beta2': 0.9}}
11-22 18:26 [MainProcess, 3151113] [INFO ]  {'input_dim': 1793, 'hidden_units': 128, 'output_dim': 257, 'num_layers': 3, 'num_epochs': 100, 'batchsize': 128, 'data': 'noisy', 'dur': 4, 'weight': 100000000, 'resume_epoch': None, 'ratio': 0.1, 'optimizer': {'lr': 0.001, 'beta1': 0.0, 'beta2': 0.9}}
11-22 18:27 [MainProcess, 3151379] [INFO ]  {'input_dim': 1793, 'hidden_units': 128, 'output_dim': 257, 'num_layers': 3, 'num_epochs': 100, 'batchsize': 128, 'data': 'noisy', 'dur': 4, 'weight': 100000000, 'resume_epoch': None, 'ratio': 0.1, 'optimizer': {'lr': 0.001, 'beta1': 0.0, 'beta2': 0.9}}
11-22 18:28 [MainProcess, 3151460] [INFO ]  {'input_dim': 1793, 'hidden_units': 128, 'output_dim': 257, 'num_layers': 3, 'num_epochs': 100, 'batchsize': 128, 'data': 'noisy', 'dur': 4, 'weight': 100000000, 'resume_epoch': None, 'ratio': 0.1, 'optimizer': {'lr': 0.001, 'beta1': 0.0, 'beta2': 0.9}}
